source	target	score
ENSG00000121410	ENSG00000173915	1.84
ENSG00000121410	ENSG00000186468	1.84
ENSG00000121410	ENSG00000104529	1.84
ENSG00000121410	ENSG00000100417	1.84
ENSG00000121410	ENSG00000142156	1.83
ENSG00000121410	ENSG00000182853	1.83
ENSG00000121410	ENSG00000267757	1.83
ENSG00000121410	ENSG00000143947	1.83
ENSG00000121410	ENSG00000026025	1.83
ENSG00000121410	ENSG00000100299	1.83
ENSG00000121410	ENSG00000110243	1.83
ENSG00000121410	ENSG00000164088	1.83
ENSG00000121410	ENSG00000099365	1.83
ENSG00000121410	ENSG00000138175	1.83
ENSG00000121410	ENSG00000244187	1.83
ENSG00000121410	ENSG00000179743	1.83
ENSG00000121410	ENSG00000215375	1.82
ENSG00000121410	ENSG00000099785	1.82
ENSG00000121410	ENSG00000174080	1.82
ENSG00000121410	ENSG00000102103	1.82
ENSG00000121410	ENSG00000185361	1.82
ENSG00000121410	ENSG00000126947	1.82
ENSG00000121410	ENSG00000167380	1.82
ENSG00000121410	ENSG00000161265	1.82
ENSG00000121410	ENSG00000235944	1.82
ENSG00000121410	ENSG00000128228	1.82
ENSG00000121410	ENSG00000154429	1.81
ENSG00000121410	ENSG00000182108	1.81
ENSG00000121410	ENSG00000141759	1.81
ENSG00000121410	ENSG00000172007	1.81
ENSG00000121410	ENSG00000115257	1.81
ENSG00000121410	ENSG00000109220	1.81
ENSG00000121410	ENSG00000261064	1.81
ENSG00000121410	ENSG00000160161	1.81
ENSG00000121410	ENSG00000109758	1.81
ENSG00000121410	ENSG00000196456	1.81
ENSG00000121410	ENSG00000115274	1.80
ENSG00000121410	ENSG00000105677	1.80
ENSG00000121410	ENSG00000099800	1.80
ENSG00000121410	ENSG00000140931	1.80
ENSG00000121410	ENSG00000133142	1.80
ENSG00000121410	ENSG00000261221	1.80
ENSG00000121410	ENSG00000198860	1.80
ENSG00000121410	ENSG00000100321	1.80
ENSG00000121410	ENSG00000196867	1.79
ENSG00000121410	ENSG00000143545	1.79
ENSG00000121410	ENSG00000171863	1.79
ENSG00000121410	ENSG00000099840	1.79
ENSG00000121410	ENSG00000170476	1.79
ENSG00000121410	ENSG00000165502	1.79
ENSG00000121410	ENSG00000054148	1.79
ENSG00000121410	ENSG00000100934	1.79
ENSG00000121410	ENSG00000175938	1.79
ENSG00000121410	ENSG00000117533	1.79
ENSG00000121410	ENSG00000099999	1.79
ENSG00000121410	ENSG00000237181	1.78
ENSG00000121410	ENSG00000169951	1.78
ENSG00000121410	ENSG00000241343	1.78
ENSG00000121410	ENSG00000178980	1.78
ENSG00000121410	ENSG00000186910	1.78
ENSG00000121410	ENSG00000002822	1.78
ENSG00000121410	ENSG00000008710	1.78
